                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77005,                0.93771,                  1.079,                0.58214,                0.39979,                0.42991,                0.33325,                0.98109,                 1.7018,                 1.2271,             0.00048074,             0.00048074,             0.00048074
                     36,                0.77077,                0.90272,                 1.0809,                0.59096,                0.39617,                0.42231,                0.32072,                0.98289,                 1.6991,                 1.2252,             0.00047367,             0.00047367,             0.00047367
                     37,                0.75537,                0.90733,                 1.0681,                0.60336,                0.39124,                0.42511,                0.33209,                0.98643,                 1.7244,                 1.2364,              0.0004666,              0.0004666,              0.0004666
                     38,                0.75215,                0.89049,                 1.0702,                0.56458,                0.39677,                0.41618,                0.32205,                0.98431,                 1.7136,                 1.2231,             0.00045953,             0.00045953,             0.00045953
                     39,                0.74065,                0.86043,                 1.0616,                0.58014,                0.39046,                0.40927,                0.32024,                 0.9757,                 1.6894,                  1.229,             0.00045246,             0.00045246,             0.00045246
                     40,                0.73795,                0.85063,                 1.0587,                0.61387,                0.37413,                0.41653,                0.32596,                0.97653,                  1.747,                 1.2255,             0.00044539,             0.00044539,             0.00044539
                     41,                0.72966,                0.82963,                 1.0523,                0.57909,                0.37883,                0.41577,                 0.3221,                0.97112,                 1.7123,                 1.2175,             0.00043832,             0.00043832,             0.00043832
                     42,                0.72553,                0.80522,                 1.0476,                0.53819,                0.38433,                0.39497,                0.30779,                0.97862,                 1.7384,                 1.2343,             0.00043126,             0.00043126,             0.00043126
                     43,                0.71637,                0.78658,                 1.0445,                0.59042,                0.37718,                0.41579,                0.32336,                0.97912,                 1.6931,                 1.2239,             0.00042419,             0.00042419,             0.00042419
                     44,                0.71198,                0.77989,                 1.0389,                0.59957,                0.39842,                0.42825,                0.33754,                0.96218,                 1.7158,                  1.218,             0.00041712,             0.00041712,             0.00041712
                     45,                0.71214,                0.76846,                 1.0385,                0.61309,                0.39643,                0.42957,                0.33541,                0.96856,                 1.6848,                 1.2177,             0.00041005,             0.00041005,             0.00041005
                     46,                0.70687,                0.75583,                 1.0401,                0.60777,                0.37682,                0.41641,                 0.3277,                0.98143,                 1.7278,                 1.2311,             0.00040298,             0.00040298,             0.00040298
                     47,                0.69443,                 0.7365,                 1.0275,                0.60379,                0.40454,                0.42927,                0.34127,                0.96239,                 1.6841,                  1.231,             0.00039591,             0.00039591,             0.00039591
                     48,                0.69551,                0.73013,                 1.0291,                0.61203,                0.37831,                0.42141,                0.33509,                0.96791,                 1.7475,                 1.2301,             0.00038884,             0.00038884,             0.00038884
                     49,                0.69502,                0.71324,                 1.0268,                0.64844,                0.36237,                0.41042,                0.32553,                0.96117,                 1.7032,                 1.2278,             0.00038178,             0.00038178,             0.00038178
                     50,                0.68574,                0.70427,                 1.0239,                0.59246,                0.38738,                0.42882,                0.33869,                0.96726,                 1.6838,                 1.2292,             0.00037471,             0.00037471,             0.00037471
                     51,                0.67672,                0.69524,                 1.0212,                0.62334,                0.38482,                0.42736,                0.33409,                0.96042,                 1.7151,                 1.2272,             0.00036764,             0.00036764,             0.00036764
                     52,                0.66834,                0.67927,                 1.0173,                0.62339,                0.40589,                 0.4355,                0.34506,                0.97054,                 1.7223,                 1.2338,             0.00036057,             0.00036057,             0.00036057
                     53,                0.67329,                0.68119,                 1.0157,                0.59595,                0.40448,                0.42928,                0.33853,                0.96696,                 1.7249,                 1.2298,              0.0003535,              0.0003535,              0.0003535
                     54,                0.66295,                0.65653,                 1.0092,                0.61515,                0.37685,                0.41926,                0.33042,                0.97208,                 1.7185,                 1.2229,             0.00034643,             0.00034643,             0.00034643
                     55,                 0.6659,                0.64991,                   1.01,                0.59253,                0.39753,                0.42467,                0.33257,                0.96412,                 1.7347,                 1.2269,             0.00033936,             0.00033936,             0.00033936
